Id. Producto,Categoria_H,prod_months_count,prod_avg_units,prod_min_units,prod_max_units,prod_p10_units,prod_p90_units,prod_down_percent,prod_up_percent,prod_cv_percent,cat_months_count,cat_avg_units,cat_down_percent,cat_up_percent,cat_cv_percent,product_weight,category_weight,final_down_percent,final_up_percent,normal_min_units,normal_max_units
178,Categoria C1,59,23.271186440677965,3,64,9.0,40.60000000000001,-61.32556445739257,74.46467589220688,57.06313665568812,60,2615.15,-27.717339349559307,29.659866546851998,22.23696556257227,0.75,0.25,-52.923508180434254,63.26347355586817,10.955258181061655,37.99334732071305
3399,Categoria C1,60,14.083333333333334,2,34,5.0,27.1,-64.49704142011834,92.42603550295858,59.16698407447998,60,2615.15,-27.717339349559307,29.659866546851998,22.23696556257227,0.75,0.25,-55.302115902478576,76.73449326393194,6.294952010400934,24.89010780133708
3408,Categoria C1,60,790.6333333333333,389,1198,623.4,984.5,-21.15181921666175,24.52042666216957,19.980627059516003,60,2615.15,-27.717339349559307,29.659866546851998,22.23696556257227,0.75,0.25,-22.793199249886136,25.805286633340174,610.4227023306502,994.6585312187318
4565,Categoria C1,60,526.0166666666667,273,892,370.3,761.2,-29.60299103323722,44.71024365514402,26.345479938663352,60,2615.15,-27.717339349559307,29.659866546851998,22.23696556257227,0.75,0.25,-29.13157811231774,40.94764937807101,372.7797105328566,741.4081270035499
4566,Categoria C1,60,1129.4666666666667,642,1765,770.9,1560.4,-31.746547042852086,38.15370086176367,25.30267129046579,60,2615.15,-27.717339349559307,29.659866546851998,22.23696556257227,0.75,0.25,-30.739245119528892,36.030242283035754,782.2771394566278,1536.4162431727946
4567,Categoria C1,60,132.06666666666666,40,233,75.0,187.1,-43.21049974760222,41.670873296314994,30.855399482345064,60,2615.15,-27.717339349559307,29.659866546851998,22.23696556257227,0.75,0.25,-39.337209648091495,38.66812160894924,80.11532512475384,183.13436593821896
4911,Categoria C2,60,348.96666666666664,160,845,212.8,472.6,-39.01996370235934,35.42840767981662,34.95056292467504,60,1536.55,-32.55019361556734,33.493866128664855,23.291794635507333,0.75,0.25,-37.40252118066134,34.944772292028674,218.44433525321878,470.912273708416
4912,Categoria C2,60,1187.5833333333333,531,1711,825.2,1581.1000000000001,-30.514349870184542,33.135920286295715,24.434109910413884,60,1536.55,-32.55019361556734,33.493866128664855,23.291794635507333,0.75,0.25,-31.02331080653024,33.225406746888005,819.1556647467812,1582.162726291584
5099,Categoria T1,60,574.0,288,882,405.0,716.3,-29.442508710801395,24.790940766550516,21.33446289197719,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.75,0.25,-28.166880880709673,24.89276919756972,412.3221037447265,716.8844951940503
5100,Categoria T1,60,45.333333333333336,14,132,23.0,71.1,-49.26470588235294,56.838235294117624,47.795939071052594,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.75,0.25,-43.03352875937333,48.92824009324505,25.82480029575076,67.51413550893776
5102,Categoria T1,60,21.85,5,44,11.700000000000001,35.1,-46.453089244851256,60.64073226544622,43.49009896465141,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.75,0.25,-40.92481628124707,51.7801128217415,12.907927642547516,33.16395465155052
5103,Categoria T1,60,96.26666666666667,29,166,60.0,129.1,-37.67313019390582,34.10664819944598,28.257816422000165,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.75,0.25,-34.33984699303799,31.879549772241315,63.20884062803544,126.95604658074431
5104,Categoria T1,16,2.875,1,7,1.0,5.0,-65.21739130434783,73.91304347826086,63.34510552880109,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.6,0.4,-48.8664337387825,54.42712788320745,1.470090030010003,4.439779926642214
5105,Categoria T1,47,15.74468085106383,0,40,6.6000000000000005,27.0,-58.081081081081074,71.48648648648648,52.84909915126402,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.75,0.25,-49.64581015841943,59.9144284875217,7.928106485695666,25.178016400162992
5106,Categoria T1,48,10.375,1,28,3.0,20.0,-71.08433734939759,92.7710843373494,65.57186775289476,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.75,0.25,-59.39825235965681,75.87787687566887,4.212431317685605,18.247329725850648
5107,Categoria T1,60,48.3,25,92,30.0,67.1,-37.888198757763966,38.923395445134574,30.9053444315403,60,1149.6166666666666,-24.33999739043449,25.198254490627335,20.335638009841585,0.75,0.25,-34.501148415931596,35.49211020650777,31.63594531510504,65.44268922974325
